"Source:","C:\Users\Walter\Documents\GitHub\KosmoVolts\KosmoVoltsMain\KosmoVoltsMain.kicad_sch"
"Date:","6/18/2022 9:27:22 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","22"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"","","C1","100n","ao_symbols:C","ao_tht:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","Tayda"
"","","C2","100n","ao_symbols:C","ao_tht:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","Tayda"
"","","GATES1","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"","","GATES2","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"","","J1","OUT","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","J2","2_pin_Molex_connector","ao_symbols:2_pin_Molex_connector","","","A-826","Tayda"
"","","J3","OUT","ao_symbols:2_pin_Molex_header","ao_tht:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","","A-804","Tayda"
"","","R1","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R2","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R3","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R4","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R5","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R6","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R7","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R8","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R9","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","RV1","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","RV2","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","RV3","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","RV4","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","RV5","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","U1","TL072","ao_symbols:TL072","ao_tht:DIP-8_W7.62mm_Socket_LongPads","","A-037","Tayda"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"1","2","C1, C2","100n","ao_symbols:C","ao_tht:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","Tayda"
"2","2","GATES1, GATES2","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"3","1","J1","OUT","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"4","1","J2","2_pin_Molex_connector","ao_symbols:2_pin_Molex_connector","","","A-826","Tayda"
"5","1","J3","OUT","ao_symbols:2_pin_Molex_header","ao_tht:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","","A-804","Tayda"
"6","8","R1, R2, R3, R4, R5, R6, R7, R8","10K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"7","1","R9","1K","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"8","5","RV1, RV2, RV3, RV4, RV5","B50K","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"9","1","U1","TL072","ao_symbols:TL072","ao_tht:DIP-8_W7.62mm_Socket_LongPads","","A-037","Tayda"
